ID,Nama,Jurusan,Tahun Lulus,Pekerjaan Saat Ini,Perusahaan,Skills,Project,Certificates,Organisasi,combined_features
5219,Budi Nugroho,Mechanical Engineering,2017,Project Manager,Ogilvy Indonesia,"Finite Element Analysis, CATIA, Thermodynamics",Product Design Optimization,"Project Management Professional (PMP), SolidWorks Professional",puma_mechanical_engineering | pudc,karir di bidang project manager dengan latar belakang pendidikan mechanical engineering dan aktif di puma mechanical engineering   pudc
5220,Kartika Firdaus,Marketing,2016,Media Planner,Traveloka,"Social Media Marketing, SEO/SEM, Data Visualization",Viral Social Media Campaign,"Hootsuite Social Marketing, HubSpot Inbound Marketing",pufa_business | pumun,profesional marketing dengan spesialisasi social media marketing  seo sem  data visualization dan pengalaman proyek viral social media campaign
5221,Yoga Anggraini,International Relations,2018,Diplomat,Mayora,"Public Policy, Geopolitics, Cross-Cultural Communication",Diplomatic Protocol Handbook,"International Law and Diplomacy, Conflict Resolution & Mediation",puma_international_relations,profesional international relations dengan spesialisasi public policy  geopolitics  cross cultural communication dan pengalaman proyek diplomatic protocol handbook
5222,Agus Lestari,International Relations,2016,International Trade Specialist,Telkomsel,"Geopolitics, International Law, Diplomacy",Political Risk Assessment Report,"International Law and Diplomacy, Conflict Resolution & Mediation",puma_international_relations | aiesec,profesional international relations dengan spesialisasi geopolitics  international law  diplomacy dan pengalaman proyek political risk assessment report
5223,Vina Utama,Chemical Engineering,2019,Process Engineer,Schneider Electric,"Chemical Kinetics, Aspen HYSYS, Material Science",Heat Exchanger Network,"Aspen HYSYS User Certification, OSHA Process Safety Management (PSM)",pufa_engineering | accounting_club | pumun,alumni jurusan chemical engineering berkarir sebagai process engineer di schneider electric  ahli dalam chemical kinetics  aspen hysys  material science
5224,Rizky Anggraini,Civil Engineering,2020,Structural Engineer,Google Indonesia,"Estimation, AutoCAD Civil 3D, Construction Safety",Foundation Stability Analysis,AutoCAD Civil 3D Certified,puma_civil_engineering,seorang structural engineer lulusan civil engineering dengan pengalaman di google indonesia dan sertifikasi autocad civil 3d certified
5225,Fitri Anggraini,Law,2015,Paralegal,Assegaf Hamzah & Partners,"Compliance, Contract Drafting, Moot Court",Legal Due Diligence,"Legal Research & Writing Certificate, Commercial Contract Management",pufa_social_science_and_education | fpci,karir di bidang paralegal dengan latar belakang pendidikan law dan aktif di pufa social science and education   fpci
5226,Eko Firdaus,Visual Communication Design,2017,Motion Graphic Artist,Traveloka,"Visual Branding, Typography, Illustration",Marketing Visual Assets,"Design Thinking Certification, Figma UI/UX Essentials",pufa_social_science_and_education,profesional visual communication design dengan spesialisasi visual branding  typography  illustration dan pengalaman proyek marketing visual assets
5227,Joko Suteja,Information Technology,2022,Data Scientist,Google Indonesia,"AWS, Python, Docker/Kubernetes",Inventory Management System,Certified ScrumMaster (CSM),puma_information_technology | debate_club | pumun,karir di bidang data scientist dengan latar belakang pendidikan information technology dan aktif di puma information technology   debate club   pumun
5228,Tia Rahman,Business Administration,2020,Entrepreneur,Dentsu,"Entrepreneurship, CRM, Market Analysis",Competitor Analysis Report,HubSpot Inbound Marketing,puma_business_administration,karir di bidang entrepreneur dengan latar belakang pendidikan business administration dan aktif di puma business administration
5229,Eko Rahman,Financial Engineering,2015,Financial Modeler,Mayora,"Stochastic Calculus, Machine Learning, Financial Modeling",Option Pricing Model,"Bloomberg Market Concepts, FMVA (Financial Modeling)",pufa_business | debate_club,karir di bidang financial modeler dengan latar belakang pendidikan financial engineering dan aktif di pufa business   debate club
5230,Kartika Permana,Accounting,2019,Internal Auditor,Ernst & Young,"Risk Management, MYOB, Data Analysis for Accounting",Tax Planning Compliance,Data Analytics for Accounting Certificate,pufa_business | accounting_club,alumni jurusan accounting berkarir sebagai internal auditor di ernst   young  ahli dalam risk management  myob  data analysis for accounting
5231,Citra Saputra,Management,2022,Employee Relations Specialist,Unilever,"Talent Management, Change Management, Performance Management",Employee Engagement Survey,Talent Management Practitioner,puma_management | pufa_business,profesional management dengan spesialisasi talent management  change management  performance management dan pengalaman proyek employee engagement survey
5232,Rina Suteja,Financial Engineering,2018,Financial Modeler,Mayora,"Financial Modeling, Data Science, Python",Portfolio Optimization Algorithm,FRM (Financial Risk Manager),pufa_business,alumni jurusan financial engineering berkarir sebagai financial modeler di mayora  ahli dalam financial modeling  data science  python
5233,Lina Lestari,Creative Media,2017,Scriptwriter,Mayora,"Storytelling, Adobe Premiere Pro, Animation",Short Film Production,Storytelling for Business,puma_creative_media,seorang scriptwriter lulusan creative media dengan pengalaman di mayora dan sertifikasi storytelling for business
5234,Galih Nugroho,Primary School Teacher Education,2022,Curriculum Developer,Schneider Electric,"Lesson Planning, Child Psychology, Educational Leadership",Curriculum Development for Special Needs,Child Protection Training,puma_primary_school_teacher_education | moot_court | fpci,karir di bidang curriculum developer dengan latar belakang pendidikan primary school teacher education dan aktif di puma primary school teacher education   moot court   fpci
5235,Imam Mahendra,Mechanical Engineering,2019,R&D Specialist,Shopee,"SolidWorks, Hydraulics, Finite Element Analysis",Quality Assurance System,FEA Software Proficiency,pufa_engineering,profesional mechanical engineering dengan spesialisasi solidworks  hydraulics  finite element analysis dan pengalaman proyek quality assurance system
5236,Zara Sihombing,Creative Media,2015,Scriptwriter,Traveloka,"Scriptwriting, Sound Design, Cinematography",Short Film Production,Adobe Premiere Pro Certified,puma_creative_media | fpci,profesional creative media dengan spesialisasi scriptwriting  sound design  cinematography dan pengalaman proyek short film production
5237,Yoga Suteja,Civil Engineering,2022,Structural Engineer,Tokopedia,"BIM (Revit), Project Management, AutoCAD Civil 3D",High-Rise Building Design,"AutoCAD Civil 3D Certified, OSHA 30-Hour Construction",puma_civil_engineering,seorang structural engineer lulusan civil engineering dengan pengalaman di tokopedia dan sertifikasi autocad civil 3d certified  osha 30 hour construction
5238,Imam Nugroho,International Relations,2019,Foreign Affairs Correspondent,Telkomsel,"International Law, Negotiation, Diplomacy",Diplomatic Protocol Handbook,"TOEFL/IELTS/Foreign Lang Cert, Project Management for Development (PMD Pro)",pusc | aiesec | debate_club,alumni jurusan international relations berkarir sebagai foreign affairs correspondent di telkomsel  ahli dalam international law  negotiation  diplomacy
5239,Rina Saputra,Civil Engineering,2020,Transportation Engineer,Astra International,"AutoCAD Civil 3D, Structural Analysis, Estimation",Construction Budgeting,AutoCAD Civil 3D Certified,accounting_club | moot_court,alumni jurusan civil engineering berkarir sebagai transportation engineer di astra international  ahli dalam autocad civil 3d  structural analysis  estimation
5240,Agus Rahman,Actuarial Science,2015,Investment Analyst,Unilever,"R Programming, Risk Modeling, Statistics",Investment Portfolio Modeling,SOA Exam FM (Financial Mathematics),debate_club | pufa_business | purtc,seorang investment analyst lulusan actuarial science dengan pengalaman di unilever dan sertifikasi soa exam fm  financial mathematics
5241,Tia Manullang,Applied Mathematics,2020,Cryptographer,Shopee,"Algorithm Development, Modeling, Linear Algebra",Logistics Route Optimization,"Machine Learning (Stanford/Coursera), Advanced Statistics",puma_applied_mathematics | pufa_computer_science | aiesec,karir di bidang cryptographer dengan latar belakang pendidikan applied mathematics dan aktif di puma applied mathematics   pufa computer science   aiesec
5242,Agus Suteja,Creative Media,2017,Post-Production Supervisor,Ogilvy Indonesia,"Storytelling, Animation, Video Production",Web Series Pilot,"DaVinci Resolve Color Grading, Adobe Premiere Pro Certified",debate_club | puma_creative_media | pumun,seorang post production supervisor lulusan creative media dengan pengalaman di ogilvy indonesia dan sertifikasi davinci resolve color grading  adobe premiere pro certified
5243,Eko Firdaus,Financial Engineering,2021,Risk Manager,Unilever,"Financial Modeling, Data Science, Machine Learning",Option Pricing Model,"FMVA (Financial Modeling), Python for Finance",pufa_business | purtc | pumun,alumni jurusan financial engineering berkarir sebagai risk manager di unilever  ahli dalam financial modeling  data science  machine learning
5244,Imam Firdaus,Environmental Engineering,2019,Hyrdrology Specialist,Shopee,"EIA (Environmental Impact Assessment), GIS, Compliance",Site Contamination Assessment,"HSE Training Certificate, OSHA 30-Hour General Industry",pufa_engineering,alumni jurusan environmental engineering berkarir sebagai hyrdrology specialist di shopee  ahli dalam eia  environmental impact assessment   gis  compliance
5245,Bayu Gunawan,Chemical Engineering,2017,Quality Assurance Chemist,Telkomsel,"Aspen HYSYS, Material Science, Process Control",Catalyst Optimization Study,OSHA Process Safety Management (PSM),puma_chemical_engineering,alumni jurusan chemical engineering berkarir sebagai quality assurance chemist di telkomsel  ahli dalam aspen hysys  material science  process control
5246,Bayu Sihombing,Primary School Teacher Education,2021,Curriculum Developer,PLN,"Educational Leadership, Lesson Planning, Child Psychology",School Anti-Bullying Program,Child Protection Training,pudc | puma_primary_school_teacher_education | pumun,profesional primary school teacher education dengan spesialisasi educational leadership  lesson planning  child psychology dan pengalaman proyek school anti bullying program
5247,Budi Lestari,Applied Mathematics,2015,Data Scientist,Astra International,"Algorithm Development, Statistical Inference, Optimization",Time Series Forecasting,Data Science Professional Certificate,pufa_computer_science | pudc,alumni jurusan applied mathematics berkarir sebagai data scientist di astra international  ahli dalam algorithm development  statistical inference  optimization
5248,Agus Nugroho,Civil Engineering,2018,Transportation Engineer,PLN,"AutoCAD Civil 3D, Structural Analysis, Estimation",Construction Budgeting,Revit Structure Fundamentals,pufa_engineering | purtc,seorang transportation engineer lulusan civil engineering dengan pengalaman di pln dan sertifikasi revit structure fundamentals
5249,Kartika Utama,Actuarial Science,2021,Pension Actuary,Traveloka,"Risk Modeling, Financial Math, Probability Theory",Pension Liability Calculation,"Professional Risk Manager (PRM), SOA Exam P (Probability)",puma_actuarial_science | pusc | aiesec,alumni jurusan actuarial science berkarir sebagai pension actuary di traveloka  ahli dalam risk modeling  financial math  probability theory
5250,Tia Nugroho,Visual Communication Design,2020,Branding Consultant,Dentsu,"Illustration, Wireframing, Adobe Creative Suite",Design Thinking Workshop,Google UX Design,puma_visual_communication_design | fpci | pufa_social_science_and_education,alumni jurusan visual communication design berkarir sebagai branding consultant di dentsu  ahli dalam illustration  wireframing  adobe creative suite
5251,Budi Saputra,Business Administration,2019,Market Researcher,Djarum,"CRM, Process Optimization, Market Analysis",Market Feasibility Study,"HubSpot Inbound Marketing, Google Analytics",pufa_business | moot_court | puma_business_administration,alumni jurusan business administration berkarir sebagai market researcher di djarum  ahli dalam crm  process optimization  market analysis
5252,Indah Sihombing,Environmental Engineering,2020,EIA Consultant,Shopee,"Compliance, Water Treatment, HSE Standards",Industrial Pollution Control Plan,OSHA 30-Hour General Industry,pufa_engineering,seorang eia consultant lulusan environmental engineering dengan pengalaman di shopee dan sertifikasi osha 30 hour general industry
5253,Rizky Saputra,Industrial Engineering,2019,Operations Analyst,Unilever,"System Modeling, Simulation (Arena), Six Sigma",Supply Chain Network Design,"Ergonomics Assessment Specialist, CSCP (Certified Supply Chain Professional)",pufa_engineering,karir di bidang operations analyst dengan latar belakang pendidikan industrial engineering dan aktif di pufa engineering
5254,Indah Mahendra,Information Technology,2016,Cybersecurity Analyst,Shopee,"React, Docker/Kubernetes, CI/CD",Inventory Management System,"Google IT Support Professional, Cisco Certified Network Associate (CCNA)",pufa_computer_science,karir di bidang cybersecurity analyst dengan latar belakang pendidikan information technology dan aktif di pufa computer science
5255,Vina Permana,Environmental Engineering,2018,EIA Consultant,Djarum,"EIA (Environmental Impact Assessment), Waste Management, GIS",Carbon Footprint Analysis,"HSE Training Certificate, ISO 14001 Lead Auditor",puma_environmental_engineering | pumun,seorang eia consultant lulusan environmental engineering dengan pengalaman di djarum dan sertifikasi hse training certificate  iso 14001 lead auditor
5256,Mega Saputra,Visual Communication Design,2019,Web Designer,Shopee,"Figma, User Research, Adobe Creative Suite",Corporate Identity Manual,"Google UX Design, Figma UI/UX Essentials",pufa_social_science_and_education,alumni jurusan visual communication design berkarir sebagai web designer di shopee  ahli dalam figma  user research  adobe creative suite
5257,Siti Anggraini,Accounting,2023,Financial Controller,Traveloka,"Risk Management, Taxation, MYOB",Cost Reduction Analysis,"Data Analytics for Accounting Certificate, Tax Brevet A & B",pumun | purtc,karir di bidang financial controller dengan latar belakang pendidikan accounting dan aktif di pumun   purtc
5258,Mega Wibowo,Marketing,2018,Social Media Manager,Mayora,"SEO/SEM, Google Analytics, Social Media Marketing",Omni-channel Marketing Strategy,"Meta Certified Digital Marketing Associate, Google Ads",purtc,alumni jurusan marketing berkarir sebagai social media manager di mayora  ahli dalam seo sem  google analytics  social media marketing
5259,Mega Ramadhan,Management,2020,Recruitment Manager,Robert Walters,"Talent Management, Payroll Administration, Employee Relations",Performance Appraisal System Design,Talent Management Practitioner,puma_management,profesional management dengan spesialisasi talent management  payroll administration  employee relations dan pengalaman proyek performance appraisal system design
5260,Dewi Sihombing,Applied Mathematics,2016,Statistical Consultant,Shopee,"Statistical Inference, Optimization, Algorithm Development",Logistics Route Optimization,Machine Learning (Stanford/Coursera),puma_applied_mathematics | fpci | pusc,profesional applied mathematics dengan spesialisasi statistical inference  optimization  algorithm development dan pengalaman proyek logistics route optimization
5261,Siti Lestari,Creative Media,2015,Multimedia Artist,Unilever,"Video Production, Sound Design, Cinematography",Podcast Series Production,Adobe Premiere Pro Certified,pufa_social_science_and_education,seorang multimedia artist lulusan creative media dengan pengalaman di unilever dan sertifikasi adobe premiere pro certified
5262,Kartika Lestari,Information Technology,2023,Cloud Engineer,Astra International,"SQL, Python, Microservices",Automated Testing Suite,"Cisco Certified Network Associate (CCNA), CompTIA A+",pufa_computer_science | pudc | pumun,alumni jurusan information technology berkarir sebagai cloud engineer di astra international  ahli dalam sql  python  microservices
5263,Eko Sihombing,Primary School Teacher Education,2020,Education Consultant,Zenius,"Child Psychology, Pedagogy, Educational Leadership",School Anti-Bullying Program,"Google Certified Educator, Special Education Needs (SEN) Training",puma_primary_school_teacher_education | purtc,profesional primary school teacher education dengan spesialisasi child psychology  pedagogy  educational leadership dan pengalaman proyek school anti bullying program
5264,Rizky Rahman,Industrial Engineering,2023,Ergonomist,Mayora,"System Modeling, Six Sigma, Lean Manufacturing",Value Stream Mapping,"Certified Quality Engineer (CQE), CSCP (Certified Supply Chain Professional)",pufa_engineering,seorang ergonomist lulusan industrial engineering dengan pengalaman di mayora dan sertifikasi certified quality engineer  cqe   cscp  certified supply chain professional
5265,Citra Lestari,Marketing,2019,SEO Specialist,Mayora,"SEO/SEM, Google Analytics, Social Media Marketing",Conversion Rate Optimization,Hootsuite Social Marketing,pufa_business,seorang seo specialist lulusan marketing dengan pengalaman di mayora dan sertifikasi hootsuite social marketing
5266,Vina Wibowo,Information Technology,2022,Cybersecurity Analyst,Mayora,"CI/CD, Docker/Kubernetes, AWS",E-commerce Platform,"CompTIA A+, Certified ScrumMaster (CSM)",pufa_computer_science | pusc,karir di bidang cybersecurity analyst dengan latar belakang pendidikan information technology dan aktif di pufa computer science   pusc
5267,Yoga Sihombing,Information Technology,2016,Full Stack Developer,Pertamina,"Data Structures, Docker/Kubernetes, JavaScript",Cloud Migration Project,AWS Certified Cloud Practitioner,pufa_computer_science,karir di bidang full stack developer dengan latar belakang pendidikan information technology dan aktif di pufa computer science
5268,Tia Ramadhan,Communication,2022,Marketing Manager,Ogilvy Indonesia,"SEO, Content Strategy, Copywriting",Internal Communication Audit,"Google Digital Garage, Public Relations Society of America (PRSA)",pudc,karir di bidang marketing manager dengan latar belakang pendidikan communication dan aktif di pudc
5269,Yoga Rahman,International Relations,2022,Political Risk Consultant,Ruangguru,"Diplomacy, Foreign Languages, Negotiation",Humanitarian Aid Logistics,"Project Management for Development (PMD Pro), International Law and Diplomacy",puma_international_relations | debate_club,seorang political risk consultant lulusan international relations dengan pengalaman di ruangguru dan sertifikasi project management for development  pmd pro   international law and diplomacy
5270,Hani Anggraini,Marketing,2023,Brand Manager,Dentsu,"Data Visualization, Consumer Behavior, A/B Testing",Market Segmentation Study,"Google Analytics, Meta Certified Digital Marketing Associate",pusc | moot_court,seorang brand manager lulusan marketing dengan pengalaman di dentsu dan sertifikasi google analytics  meta certified digital marketing associate
5271,Vina Mahendra,International Relations,2021,Diplomat,Unilever,"International Law, Foreign Languages, Cross-Cultural Communication",Humanitarian Aid Logistics,International Law and Diplomacy,pufa_social_science_and_education | aiesec | pusc,alumni jurusan international relations berkarir sebagai diplomat di unilever  ahli dalam international law  foreign languages  cross cultural communication
5272,Fitri Hakim,Chemical Engineering,2022,Quality Assurance Chemist,Mayora,"Safety Management, Process Simulation, Material Science",Pilot Plant Design,HSE Certificate,puma_chemical_engineering | debate_club | pufa_engineering,karir di bidang quality assurance chemist dengan latar belakang pendidikan chemical engineering dan aktif di puma chemical engineering   debate club   pufa engineering
5273,Tia Firdaus,Information Technology,2015,Data Scientist,Tokopedia,"AWS, CI/CD, Python",Personal Portfolio Website,"Certified ScrumMaster (CSM), Microsoft Certified: Azure Fundamentals",pufa_computer_science | debate_club | moot_court,seorang data scientist lulusan information technology dengan pengalaman di tokopedia dan sertifikasi certified scrummaster  csm   microsoft certified  azure fundamentals
5274,Galih Saputra,Law,2023,Regulatory Affairs Specialist,Telkomsel,"Litigation, Regulatory Analysis, Corporate Governance",Regulatory Compliance Audit,Legal Research & Writing Certificate,puma_law | debate_club,profesional law dengan spesialisasi litigation  regulatory analysis  corporate governance dan pengalaman proyek regulatory compliance audit
5275,Eko Utama,Creative Media,2018,Film Producer,Edelman,"Sound Design, Storytelling, Adobe Premiere Pro",Digital Ad Campaign Video,Cinematography Fundamentals,puma_creative_media,profesional creative media dengan spesialisasi sound design  storytelling  adobe premiere pro dan pengalaman proyek digital ad campaign video
5276,Eko Ramadhan,International Relations,2017,Diplomat,Telkomsel,"Foreign Languages, Geopolitics, Diplomacy",Diplomatic Protocol Handbook,International Law and Diplomacy,pufa_social_science_and_education | aiesec,karir di bidang diplomat dengan latar belakang pendidikan international relations dan aktif di pufa social science and education   aiesec
5277,Budi Lestari,Information Technology,2023,Mobile App Developer,Schneider Electric,"CI/CD, Docker/Kubernetes, Data Structures",Cloud Migration Project,"CompTIA A+, AWS Certified Cloud Practitioner",puma_information_technology | pufa_computer_science,karir di bidang mobile app developer dengan latar belakang pendidikan information technology dan aktif di puma information technology   pufa computer science
5278,Budi Manullang,Actuarial Science,2020,Risk Analyst,Ruangguru,"Risk Modeling, R Programming, Data Analysis",Time Series Forecasting,SOA Exam P (Probability),puma_actuarial_science | accounting_club,profesional actuarial science dengan spesialisasi risk modeling  r programming  data analysis dan pengalaman proyek time series forecasting
5279,Yoga Saputra,Information Technology,2017,DevOps Engineer,Astra International,"Docker/Kubernetes, Data Structures, AWS",E-commerce Platform,CompTIA A+,puma_information_technology | pumun,karir di bidang devops engineer dengan latar belakang pendidikan information technology dan aktif di puma information technology   pumun
5280,Vina Firdaus,Law,2015,Intellectual Property Specialist,Gojek Marketing,"Dispute Resolution, Litigation, Contract Drafting",Mock Trial Preparation,"Commercial Contract Management, Legal Research & Writing Certificate",puma_law | pufa_social_science_and_education,profesional law dengan spesialisasi dispute resolution  litigation  contract drafting dan pengalaman proyek mock trial preparation
5281,Hani Gunawan,Management,2021,Operations Manager,Djarum,"HRIS, Negotiation, Performance Management",Employee Engagement Survey,Certified Associate in Project Management (CAPM),pufa_business | moot_court | pusc,seorang operations manager lulusan management dengan pengalaman di djarum dan sertifikasi certified associate in project management  capm
5282,Kartika Sari,Electrical Engineering,2020,Automation Engineer,Google Indonesia,"PLC Programming, Power Generation, SCADA",Smart Home System,MATLAB Proficiency,puma_electrical_engineering | pufa_engineering,seorang automation engineer lulusan electrical engineering dengan pengalaman di google indonesia dan sertifikasi matlab proficiency
5283,Agus Firdaus,International Relations,2016,Diplomat,Telkomsel,"Cross-Cultural Communication, Negotiation, Diplomacy",Political Risk Assessment Report,Public Policy Analysis,aiesec | pusc,profesional international relations dengan spesialisasi cross cultural communication  negotiation  diplomacy dan pengalaman proyek political risk assessment report
5284,Putri Ramadhan,Actuarial Science,2023,Pricing Specialist,Gojek Marketing,"Risk Modeling, Data Analysis, Financial Math",Time Series Forecasting,"SOA Exam FM (Financial Mathematics), Professional Risk Manager (PRM)",pusc | moot_court,alumni jurusan actuarial science berkarir sebagai pricing specialist di gojek marketing  ahli dalam risk modeling  data analysis  financial math
5285,Vina Firdaus,Primary School Teacher Education,2021,School Principal,Leo Burnett,"Educational Leadership, Lesson Planning, Pedagogy",Digital Learning Module Creation,"TEFL/TESOL, Google Certified Educator",pufa_social_science_and_education | debate_club,alumni jurusan primary school teacher education berkarir sebagai school principal di leo burnett  ahli dalam educational leadership  lesson planning  pedagogy
5286,Tia Permana,Electrical Engineering,2021,Automation Engineer,PLN,"PLC Programming, Power Generation, Circuit Design",Smart Home System,MATLAB Proficiency,pufa_engineering,alumni jurusan electrical engineering berkarir sebagai automation engineer di pln  ahli dalam plc programming  power generation  circuit design
5287,Vina Ramadhan,Financial Engineering,2020,Risk Manager,Ruangguru,"Machine Learning, Stochastic Calculus, C++",Option Pricing Model,Python for Finance,accounting_club,alumni jurusan financial engineering berkarir sebagai risk manager di ruangguru  ahli dalam machine learning  stochastic calculus  c
5288,Budi Manullang,Communication,2018,Social Media Strategist,Unilever,"Media Relations, SEO, Digital Marketing",Crisis Communication Handbook,"SEO Fundamentals, Google Ads Creative Certification",pufa_social_science_and_education | accounting_club | aiesec,alumni jurusan communication berkarir sebagai social media strategist di unilever  ahli dalam media relations  seo  digital marketing
5289,Fitri Sari,Chemical Engineering,2020,Process Engineer,Astra International,"Material Science, Chemical Kinetics, Process Control",Catalyst Optimization Study,"HSE Certificate, Aspen HYSYS User Certification",puma_chemical_engineering | aiesec | purtc,profesional chemical engineering dengan spesialisasi material science  chemical kinetics  process control dan pengalaman proyek catalyst optimization study
5290,Bayu Gunawan,Visual Communication Design,2020,Graphic Designer,Djarum,"Adobe Creative Suite, User Research, Typography",Corporate Identity Manual,Google UX Design,purtc | debate_club,profesional visual communication design dengan spesialisasi adobe creative suite  user research  typography dan pengalaman proyek corporate identity manual
5291,Indah Lestari,Visual Communication Design,2023,Web Designer,Ruangguru,"Figma, Illustration, Wireframing",Interactive Web Design,Adobe Certified Professional (ACP),puma_visual_communication_design | moot_court | fpci,alumni jurusan visual communication design berkarir sebagai web designer di ruangguru  ahli dalam figma  illustration  wireframing
5292,Rina Saputra,Civil Engineering,2015,Geotechnical Consultant,Djarum,"Construction Safety, AutoCAD Civil 3D, Project Management",Road Infrastructure Planning,OSHA 30-Hour Construction,pufa_engineering | debate_club | purtc,profesional civil engineering dengan spesialisasi construction safety  autocad civil 3d  project management dan pengalaman proyek road infrastructure planning
5293,Fitri Mahendra,Law,2016,Paralegal,Assegaf Hamzah & Partners,"Legal Research, Regulatory Analysis, Litigation",Regulatory Compliance Audit,"Certified Paralegal (CP), Compliance Training Certificate",pufa_social_science_and_education | pudc,seorang paralegal lulusan law dengan pengalaman di assegaf hamzah   partners dan sertifikasi certified paralegal  cp   compliance training certificate
5294,Mega Lestari,Actuarial Science,2015,Pension Actuary,Djarum,"Risk Modeling, Probability Theory, Financial Math",Life Insurance Pricing Model,"FMVA (Financial Modeling), Professional Risk Manager (PRM)",aiesec | puma_actuarial_science,seorang pension actuary lulusan actuarial science dengan pengalaman di djarum dan sertifikasi fmva  financial modeling   professional risk manager  prm
5295,Budi Manullang,International Relations,2020,Foreign Affairs Correspondent,Telkomsel,"Cross-Cultural Communication, International Law, Public Policy",Trade Agreement Impact Analysis,Conflict Resolution & Mediation,aiesec | moot_court | purtc,alumni jurusan international relations berkarir sebagai foreign affairs correspondent di telkomsel  ahli dalam cross cultural communication  international law  public policy
5296,Fitri Suteja,Law,2015,Intellectual Property Specialist,Ogilvy Indonesia,"Corporate Governance, Litigation, Compliance",IP Registration Strategy,Compliance Training Certificate,pufa_social_science_and_education | debate_club | aiesec,profesional law dengan spesialisasi corporate governance  litigation  compliance dan pengalaman proyek ip registration strategy
5297,Fitri Anggraini,Business Administration,2023,Business Analyst,Unilever,"Entrepreneurship, Market Analysis, Leadership",Customer Loyalty Program Design,CAPM,pufa_business | purtc | fpci,alumni jurusan business administration berkarir sebagai business analyst di unilever  ahli dalam entrepreneurship  market analysis  leadership
5298,Budi Firdaus,Information Technology,2019,Cybersecurity Analyst,Djarum,"Python, Data Structures, Microservices",Automated Testing Suite,"Cisco Certified Network Associate (CCNA), AWS Certified Cloud Practitioner",puma_information_technology | accounting_club | debate_club,seorang cybersecurity analyst lulusan information technology dengan pengalaman di djarum dan sertifikasi cisco certified network associate  ccna   aws certified cloud practitioner
5299,Dewi Saputra,Chemical Engineering,2022,Food and Pharmaceutical Engineer,Pertamina,"Material Science, Aspen HYSYS, Process Simulation",Heat Exchanger Network,"Chemical Engineering Thermodynamics, OSHA Process Safety Management (PSM)",moot_court,seorang food and pharmaceutical engineer lulusan chemical engineering dengan pengalaman di pertamina dan sertifikasi chemical engineering thermodynamics  osha process safety management  psm
5300,Siti Rahman,Business Administration,2023,Office Manager,Telkomsel,"Business Strategy, Market Analysis, Leadership",Business Process Reengineering,"HubSpot Inbound Marketing, Salesforce Administrator",pufa_business,profesional business administration dengan spesialisasi business strategy  market analysis  leadership dan pengalaman proyek business process reengineering
5301,Indah Firdaus,Management,2019,Employee Relations Specialist,Shopee,"Talent Management, HRIS, Change Management",Diversity & Inclusion Initiative,"LinkedIn Recruiter Certification, SHRM-CP (Certified Professional)",puma_management | accounting_club | aiesec,profesional management dengan spesialisasi talent management  hris  change management dan pengalaman proyek diversity   inclusion initiative
5302,Kartika Pasaribu,Communication,2017,Journalist,Traveloka,"Content Strategy, Crisis Management, SEO",Social Media Engagement Analysis,"SEO Fundamentals, Meta Certified Professional",puma_communication | pudc,seorang journalist lulusan communication dengan pengalaman di traveloka dan sertifikasi seo fundamentals  meta certified professional
5303,Rizky Sari,Information Technology,2023,Web Developer,Pertamina,"AWS, Docker/Kubernetes, Microservices",E-commerce Platform,Certified ScrumMaster (CSM),pufa_computer_science | aiesec,seorang web developer lulusan information technology dengan pengalaman di pertamina dan sertifikasi certified scrummaster  csm
5304,Joko Saputra,Financial Engineering,2019,Risk Manager,Traveloka,"Python, Machine Learning, C++",Credit Risk Simulation,"CQF (Quantitative Finance), FMVA (Financial Modeling)",puma_financial_engineering,karir di bidang risk manager dengan latar belakang pendidikan financial engineering dan aktif di puma financial engineering
5305,Imam Lestari,Electrical Engineering,2017,Power System Engineer,Schneider Electric,"PLC Programming, MATLAB, Circuit Design",IoT Sensor Network,NFPA 70E (Electrical Safety),puma_electrical_engineering | pudc,seorang power system engineer lulusan electrical engineering dengan pengalaman di schneider electric dan sertifikasi nfpa 70e  electrical safety
5306,Eko Mahendra,Law,2020,Notary Public,Corporate Legal Dept (Unilever),"Contract Drafting, Moot Court, Legal Research",Mock Trial Preparation,Certified Information Privacy Professional (CIPP),purtc,seorang notary public lulusan law dengan pengalaman di corporate legal dept  unilever  dan sertifikasi certified information privacy professional  cipp
5307,Joko Anggraini,Management,2019,Compensation & Benefits Analyst,Djarum,"Strategic Planning, Payroll Administration, Employee Relations",Diversity & Inclusion Initiative,PHR (Professional in Human Resources),pusc | accounting_club,profesional management dengan spesialisasi strategic planning  payroll administration  employee relations dan pengalaman proyek diversity   inclusion initiative
5308,Joko Lestari,Electrical Engineering,2023,Hardware Designer,Shopee,"Microcontroller Programming, PCB Design, MATLAB",Robotic Control System,Certified Automation Professional (CAP),pufa_engineering | purtc | moot_court,seorang hardware designer lulusan electrical engineering dengan pengalaman di shopee dan sertifikasi certified automation professional  cap
5309,Hani Manullang,Management,2023,Operations Manager,Unilever,"Performance Management, HRIS, Change Management",HR Policy Review,Certified Associate in Project Management (CAPM),pufa_business | moot_court | pusc,seorang operations manager lulusan management dengan pengalaman di unilever dan sertifikasi certified associate in project management  capm
